"","text","emotion","polarity"
"247","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"248","twplane crash

this is a literal free fall fromft toft oomfs and non oomfs please stop tweeting about kp…","joy","neutral"
"249","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…","joy","neutral"
"250","sj dan bencana indonesia
sumedang longsor
kalsel banjir
majene gempa
meglang erupsi merapi

get well soon earth g…","anger","negative"
"251","a pink tshirt was recovered during the search for the remains of the sriwijaya air flight sj plane which crashed into t…","neutral","negative"
"252","the search for answers on sriwijaya air flight sj","neutral","negative"
"253","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…","joy","neutral"
"254","<U+26A1><U+FE0F> “the search for answers on sriwijaya air flight sj” by","neutral","negative"
"255","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"256","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"257","my deep condolences for victim of aircrash sriwijaya air sjits a big hit of our aviation and also reminder f…","neutral","negative"
"258","our thoughts and prayers go out to the families and friends of those on board sriwijaya air flight sj …","neutral","negative"
"259","indonesia

the search for answers continues 
with no explanation as to why sriwijaya air flight sj plunged in…","neutral","negative"
"260","investigators are combing the sea bed for an explanation as to why sriwijayaairsj plunged into the java sea…","anger","positive"
"261","the search for answers on sriwijaya air flight sjcountrysuper newsst lka…","neutral","negative"
"262","the search for answers on sriwijaya air flight sjcountrysuper newsst lka…","neutral","negative"
"263","the search for answers on sriwijaya air flight sjcountrysuper newsst lka…","neutral","negative"
"264","the search for answers on sriwijaya air flight sjcountrysuper newsst…","neutral","negative"
"265","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"266","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…","joy","neutral"
"267","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…","neutral","negative"
"268","the search for answers onflight sj","neutral","positive"
"269","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"270","twplane crash

sending deepest condolences and prayers to all the passengers pilots cabin crew and their families…","neutral","negative"
"271","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"272","sj
ssaturday 
jjanuary 
 

 saturday jan th boeingflight sj crasheddied conspiracy or <U+0001F914><U+0001F914>","neutral","negative"
"273","indonesia still grieving for now
 plane crash sjsriwijaya air
 the death of one of the great ulama in in…","joy","negative"
"274","the search for answers on sriwijaya air flight sj","neutral","negative"
"275","thats why

have a safe flight 
take care
i love you
see you soon

means so much
it could be our last goodbye…","joy","neutral"
"276","<U+0001F1EE><U+0001F1E9> flight sj <U+0001F1EE><U+0001F1E9>

black box data downloaded

<U+0001F4E2> rt sriwijayaair flightsj","neutral","negative"
"277","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"278","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"279","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"280","my thoughts and prayers are with the families and friends of who are aboard flight sj that took off from jakarta indone…","neutral","negative"
"281","knkt  both of sj’s engines were running at time of impact seemingly ruling out engine failure as a contributing fac…","neutral","negative"
"282","the search for answers on sriwijaya air flight sj","neutral","negative"
