"","x"
"203","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers sj we send…"
"204","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"205","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"206","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"207","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"208","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"209","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"210","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"211","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"212","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"213","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"214","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"215","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"216","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"217","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"218","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s…"
"219","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"220","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"221","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"222","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"223","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"224","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"225","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"226","it’s just the beginning of the year and weve been through a lot of disasters sending all prayers for this world <U+0001F97A>…"
"227","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"228","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"229","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"230","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"231","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"232","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"233","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"234","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"235","pray for 
sriwijayaairpkclcsj
banjirkalsel
longsorsumedang
mamujumajenesulbar"
"236","the search for answers on sriwijaya air flight sj"
"237","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"238","inindonesia experienced several disasters starting from the fall of the sj plane the earthquake in sulaw…"
"239","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"240","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"241","awesome graphics that give me shivers

flight sj the search for answers"
"242","thats why

have a safe flight 
take care
i love you
see you soon

means so much
it could be our last goodbye…"
"243","sj alfateha"
"244","closing friday with heavy heart <U+0001F494>

sj plane crashed jakarta
landslide w dozens buried w java
massive flood south k…"
"245","thats why have a safe flight have a safe ride take care of yourself have a good night or i love you means so muc…"
"246","sriwijaya air flight sj the search for answers"
"247","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"248","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…"
"249","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"250","twplane crash

this is a literal free fall fromft toft oomfs and non oomfs please stop tweeting about kp…"
"251","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…"
"252","sj dan bencana indonesia
sumedang longsor
kalsel banjir
majene gempa
meglang erupsi merapi

get well soon earth g…"
"253","a pink tshirt was recovered during the search for the remains of the sriwijaya air flight sj plane which crashed into t…"
"254","the search for answers on sriwijaya air flight sj"
"255","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…"
"256","<U+26A1><U+FE0F> “the search for answers on sriwijaya air flight sj” by"
"257","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"258","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"259","my deep condolences for victim of aircrash sriwijaya air sjits a big hit of our aviation and also reminder f…"
"260","our thoughts and prayers go out to the families and friends of those on board sriwijaya air flight sj …"
"261","indonesia

the search for answers continues 
with no explanation as to why sriwijaya air flight sj plunged in…"
"262","investigators are combing the sea bed for an explanation as to why sriwijayaairsj plunged into the java sea…"
"263","the search for answers on sriwijaya air flight sjcountrysuper newsst lka…"
"264","the search for answers on sriwijaya air flight sjcountrysuper newsst lka…"
"265","the search for answers on sriwijaya air flight sjcountrysuper newsst lka…"
"266","the search for answers on sriwijaya air flight sjcountrysuper newsst…"
"267","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"268","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…"
"269","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…"
"270","the search for answers onflight sj"
"271","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"272","twplane crash

sending deepest condolences and prayers to all the passengers pilots cabin crew and their families…"
"273","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"274","sj
ssaturday 
jjanuary 
 

 saturday jan th boeingflight sj crasheddied conspiracy or <U+0001F914><U+0001F914>"
"275","indonesia still grieving for now
 plane crash sjsriwijaya air
 the death of one of the great ulama in in…"
"276","the search for answers on sriwijaya air flight sj"
"277","thats why

have a safe flight 
take care
i love you
see you soon

means so much
it could be our last goodbye…"
"278","<U+0001F1EE><U+0001F1E9> flight sj <U+0001F1EE><U+0001F1E9>

black box data downloaded

<U+0001F4E2> rt sriwijayaair flightsj"
"279","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"280","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"281","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"282","my thoughts and prayers are with the families and friends of who are aboard flight sj that took off from jakarta indone…"
"283","knkt  both of sj’s engines were running at time of impact seemingly ruling out engine failure as a contributing fac…"
"284","the search for answers on sriwijaya air flight sj"
"285","twplane crash

a tragedy in the first month ofeveryone lets have a moment and send all prayers to the crews and pa…"
"286","rudder hard over or an unlocked thrust reverser sj"
"287","indonesia <U+0001F1EE><U+0001F1E9>

from the crash of sj off of jakarta to floods in kalimantan to an earthquake in sulawesi it’s been…"
"288","sj cinulangs landslides south kalimantans flooding and west sulawesis earthquake it’s still january th for god’s sake"
"289","awesome graphics that give me shivers

flight sj the search for answers"
"290","<U+26A1><U+FE0F> “the search for answers on sriwijaya air flight sj” by"
"291","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"292","indonesia <U+0001F1EE><U+0001F1E9>

from the crash of sj off of jakarta to floods in kalimantan to an earthquake in sulawesi it’s been…"
"293","i was not afraid to fly untilwhen i started watching videos on airline disaster investigations after watchin…"
"294","you need a mealprer mealpreps food restaurant or foodservice bbq cafelogo 

…"
"295","you need a mealprer mealpreps food restaurant or foodservice bbq cafelogo 

…"
"296","flight sj knkt downloads data from flight data recordernews"
"297","often called black boxes the bright orange recorders are designed to survive a crash intact and provide investigators w…"
"298","<U+26A1><U+FE0F> “the search for answers on sriwijaya air flight sj” by"
"299","knkt  both of sj’s engines were running at time of impact seemingly ruling out engine failure as a contributing fac…"
"300","knkt  both of sj’s engines were running at time of impact seemingly ruling out engine failure as a contribu…"
"301","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"302","<U+0001F9ED>the search for answers on sriwijayaair boeing flight sjjakarta mh mh"
"303","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …"
"304","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"305","<U+203C><U+FE0F>important<U+203C><U+FE0F>

please if you see any of pict or video if the victims sriwijaya air plane crash do not share picts and…"
"306","the search for answers on sriwijaya air flight sj"
"307","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"308","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"309","twplane crash

the hashtag party for the release of force will be cancelled to pay respect to the recent plane crash…"
"310","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"311","with no explanation as to why sriwijayaair sj plunged into the seadivers are searching cockpit voice recorder…"
"312","twplane crash

thread about what’s happening with tragedy sj cuz most of my tl arent aware of this …"
"313","pageof 

covid 
sj 
longsorsumedang
prayforkalimantan 
gempamajene"
"314","indonesia <U+0001F1EE><U+0001F1E9>

from the crash of sj off of jakarta to floods in kalimantan to an earthquake in sulawesi it’s been…"
"315","the search for answers on sriwijaya air flight sj"
"316","the search for answers on sriwijaya air flight sj"
"317","theory sj plane bound for pontianak was suspected of being about to change lanes and the pilot was disoriented while…"
"318","sj dan bencana indonesia
sumedang longsor
kalsel banjir
majene gempa
meglang erupsi merapi

get well soon earth g…"
"319","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…"
"320","that jacket <U+0001F494><U+0001F62D> sriwijayaair sj"
"321","and because of wfh and i dont do much at home its been a week i crave the sj news ive never seen this many…"
"322","twplane crash

 anitwt lets have a moment and send our prayers to the passengers and crew as well as our deepest cond…"
"323","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
"324","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…"
"325","another young soul <U+0001F61E>may the victims rest in eternal peace <U+0001F64F> <U+0001F64F> <U+0001F64F> 
sjy sj"
"326","theory sj plane bound for pontianak was suspected of being about to change lanes and the pilot was disoriented while…"
"327","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…"
