"","x"
"134","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"135","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"136","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"137","RT @ArmWC_MY: Stay safe and take care Indonesia Kamchai's , all of us pray the best for you  . All the family of passengers #SJ182 we send…"
"138","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"139","RT @ArmWC_MY: Stay safe and take care Indonesia Kamchai's , all of us pray the best for you  . All the family of passengers #SJ182 we send…"
"140","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"141","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"142","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"143","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"144","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"145","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"146","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"147","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"148","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"149","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"150","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"151","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"152","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"153","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"154","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"155","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"156","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"157","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"158","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"159","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"160","RT @arsythetic04: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake…"
"161","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"162","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"163","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"164","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"165","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"166","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"167","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"168","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"169","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"170","RT @ArmWC_MY: Stay safe and take care Indonesia Kamchai's , all of us pray the best for you  . All the family of passengers #SJ182 we send…"
"171","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"172","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"173","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"174","RT @prathampy: #Update on #SJ182 : 
Black Boxes of #SriwijayaAir Flight 812 have been recovered. This is the first milestone in the search…"
"175","Exactly a week ago in memoriam tragedy for SJ182 but still left deepest sadness <U+0001F62D>"
"176","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"177","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"178","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"179","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"180","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"181","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"182","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"183","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"184","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"185","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"186","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"187","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"188","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"189","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"190","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"191","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"192","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
